text,label
quần size khong chuẩn,3
hình_ảnh con thỏ thành con gấu,3
cảm_ơn shop nhấn_mạnh_cảm_xúc,0
chất_lượng sản_phẩm tuyệt_vời,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,2
phom xuôn rộng,4
hàng rất đồng_ý mình đã mua hàng shop được vài lần rồi lần nào cũng hài_lòng hết,2
chất_lượng sản_phẩm tuyệt_vời hơi mỏng nhưng không sao,2
chất_lượng đợi thời_gian sử_dụng mới biết,0
thời_gian giao hàng rất nhanh vải mịn đẹp,2
hàng đồng_ý,2
mỗi ngày giao hàng càng kém chất_lượng không giống hàng mẫu,1
quá tệ,1
shop phục_vụ rất tốt_mạng dùng rất ngon_lành đủ 12 tháng rất đáng tiền,2
đẹp lắm nha,2
áo đẹp phù_hợp giá tiền,2
voucher tối đặt sáng giao,0
chất_lượng sản_phẩm tạm được đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh,4
được tặng thêm 1 đống dây,4
đặt kiểu giao kiểu,3
nhưng lớp trong áo cứng quá,4
đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền thời_gian giao hàng rất nhanh,2
mãi mới rình bắt được nó cười_lớn,2
không y_hình,3
quần không co_giãn,3
hàng rất đáng đồng_tiền,4
áo bao đẹp ạ nhấn_mạnh_cảm_xúc,2
chất_lượng sản_phẩm khá đẹp nhưng không ý_nghĩ lắm,4
đẹp tuyet voi lun ạ chất_lượng sản_phẩm tuyệt_vời,2
không giao đúng màu làm em không giao được hàng khách,3
bao bao bao đẹp,4
đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt,2
cái này giặt mấy lần chắc tróc sơn_mặt trước ra hết quá,3
ưng muốn xỉu yêu_thích,2
sản_phẩm chỉ dây cắm không đầu cắm vậy shop nghi_ngờ_cảm_xúc,3
điều_quần bộ gấu mk nhận bị lỗi 1 đường dài_hơi tiếc nhưng vẫn sẽ shop 5,4
đep quá xuất_sắc,2
thời_gian giao hàng rất nhanh rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời,2
thời_gian giao hàng nhanh,4
sẽ ủng_hộ shop thêm,2
y_hình chuẩn đẹp tốt chất_lượng sản_phẩm tuyệt_vời,2
mong shop bán được nhiều hơn_nữa,4
đóng_gói sản_phẩm chắc_chắn,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt_shop phục_vụ rất tốt rất đáng tiền rất đáng tiền rất đáng tiền,2
vải ngoài tốt nhưng lớp lót không được tốt lắm,3
quẩn đẹp,4
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh,2
vải mỏng,0
camera điện_thoại không rõ nét tầm ảnh kém,1
chất_lượng sản_phẩm tuyệt_vời sản_phẩm rất giống hình,2
áo bị thủng 1 lỗ _,0
cảm_ơn shop nhiều vì nơi bán rất đáng tin_cậy,4
chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh mặc_dù sản_phẩm gửi từ bên nước_ngoài shop 5 sao,2
rõ_ràng mình chọn xanh_rêu mà_lại gửi ghi xám nình hàng gia_công mác chợ không phải giảm_giá vẫn trả tiền shop nhưng hoàn_toàn không hài_lòng,1
áo nhỏ màu lợt hơn trong hình,3
quần dành b nào béo_tí chứ mình size s rồi vẫn rộng dã_man mình 1 m55 43 kg,1
cảm_ơn chị shop dể thương_nha,2
áo đẹp nhưng chất vải chỉ tạm được thoii,4
máy_ảnh màu rất ngọt uwu dù giao hàng hơi lâu nhưng hàng chính hãng cực đẹp nhấn_mạnh_cảm_xúc,4
hàng giống hình nhấn_mạnh_cảm_xúc,4
rất đáng tiền,2
mọi người hãy cân_nhắc kỹ trước khi mua,1
áo rộng vải giãn tốt chỗ hổng vạch con ti_hơi to nên mặc bị lộ chút bụng,0
chất_lượng sản_phẩm tuyệt_vời,2
áo đẹp mũ nhỏ quá,0
thời_gian giao hàng rất nhanh rất đáng tiền rất đáng tiền shop phục_vụ rất tốt_shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời,2
màu cam cháy bật tone da răng,2
áo mình đặt màu đen nhưng lại giao màu trắng mình,1
váy không giống hình_ảnh,0
so giá bao_gồm ship rồi 13 k 1 quần quá rẻ,2
chất_lượng sản_phẩm tương_ứng giá sale chất vải mỏng bí chi_tiết áo tương_đối chứ không đẹp y_hình,4
shop giao nhầm màu không cũng rất ưng rồi,4
vải hơi mỏng_xí,3
quần đẹp vải mềm mua mẹ cứ tưởng chật cuối_cùng vừa vặn mỗi tội vải không co_giãn nên mẹ e cũng không ngồi được xuống cơ chả_sao vì mẹ e không bao_giờ ngồi_xổm đóng_gói siêu cẩn_thận mở cái bọc toát mồ_hôi shop trả_lời ib nhiệt_tình 5,2
note 49 kg mặc size m còn rộng lắm phải chú_ý size chuẩn_xíu khách mặc vừa sẽ đẹp hơn_nữa,4
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh lc đầu mk_nghĩ vì đồ rẻ nên chất_lượng kmđc cao lắm nhưng khi nhận được gàng mk rất ngạc_nhiên đồ siêu đẹp,2
sẽ ủng_hộ shop tiếp 3,2
shop nhiệt_tình,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn mua nhieu san_pham gia_re lai_duoc qua tang_rat hai long,2
quần siêu_siêu đẹp luôn giá quá rẻ chắc_chắn sẽ ủng_hộ chị dài dài,2
mình 48 kg nghe đánh_giá nên đặt size m vẫn thấy hơi kích_xíu vì mình thích mặc rộng_rãi vải đẹp màu đẹp chỉ viền cổ màu vàng không thích_xíu thôi nhưng mua được_giá fs còn áp_mã gg nữa nên cũng hài_lòng rồi bộ này chỉ dưới 50 kg thôi_mập hơn mặc chật đó nha mọi người,2
dây đeo trên đầu không chắc bị đứt chỗ điện_thoại không chắc_chắn,1
hàng bao đệp ưng nhất từ trước đến h mua ol_shop nhiệt_tình,2
mùi thơm nhưng không bám lâu trên tóc,4
shop gửi hàng nhanh,4
mình chưa bàn đến chất_lượng nhưng shop giao sai yêu_cầu,3
hàng đúng hình nhưng chất vải thô_cứng không mong_đợi,3
chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền shop phục_vụ rất tốt_shop phục_vụ rất tốt,2
sản_phẩm bị rách bên ống_chân phải khoảng 10 cm,3
hợp túi_tiền sản_phẩm đẹp chất_lượng rất tốt,2
chất đồng_ý nhé rất dày,4
giá_cả chấp_nhận được,0
shop giao hàng hơi lâu,3
áo quá rộng rộng hơn áo đen cùng mua chất cũng mỏng không đẹp bằng áo đen,2
chất_lượng sản_phẩm tuyệt_vời hang dep_y hinh,4
shop rất uy_tín,4
sẽ tiếp_tục ủng_hộ,4
dưới đây ảnh thật e chụp ạ,0
sờ chất đồng_ý,0
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh,2
hàng mặc lên đẹp lắm shop sẽ ủng_hộ tiếp,2
đồ rất đẹp,4
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt rất đáng tiền rất đáng tiền,2
mới đặt hôm_qua hôm_nay đã nhấn_mạnh_cảm_xúc,2
sẽ còn ủng_hộ shop,2
nhưng mặc vào người áo không co_giãn nên cảm_giác không thoải_mái,3
shop tư_vâ n nhiê t_ti nh dê thương đâ m đe p vui_vẻ,4
rất đẹp rất mát,2
đẹp quá áo đẹp,2
kẹp hạt tốt,2
đúng mẫu mình chọn nhấn_mạnh_cảm_xúc,4
tiền nào đó hàg không m giảm_giá không good được,0
áo đàn_ông,3
quan bi_thư loại vải xấu không giong hinh,1
mình không nghĩ đồ lại đồng_ý như_vậy,4
mình 55 kg mua 2 size,4
thời_gian giao hàng chậm không đáng tiền,1
hàng ổn,4
